id,category,script,prompt,intent,model,response,register,intent_understanding,accuracy,culture,total,failure_mode
P001,casual,roman,Bhai weekend pe Bangalore mein kya karein?,Asking for weekend activity recommendations in Bangalore,qwen_3b_base,"Bhai, Bangalore ke weekend mein ek aur ek options hai - mall se chalna ya city se jyada travel karne ke liye. Bangalore ka bazaar miliyonis ke saath hi baap aur maam se badal kar, ek aur ek option hai:

1. Mall Chaltein: Bangalore mein mall ko visit karke shopping kar sakte hain.

2. Sightseeing: Bangalore ke popular tourist spots ko visit kar sakte hain, lag hume park, gardens, museum etc.

3. Jyada travel karke jaane: Karnataka mein jaldi ja sakte hain, lene ke baad return kar sakte hain.

4. Kala Kama: If you like arts and crafts, you can explore the local markets and street art.

5. Food tour: Bangalore mein khaane ka purana banan aur new experience se badal kar, khaane ke badal kar sakte hain.

Kisi bhi option se pehle, apne family aur friends se chalo karlo ya bina karlo. Ek aur ek option lekar apna weekend make it special.",2,2,1,2,7,hallucinated_words
P001,casual,roman,Bhai weekend pe Bangalore mein kya karein?,Asking for weekend activity recommendations in Bangalore,gpt_4o_mini,"Bangalore mein weekend par bahut saari activities karne ke liye hain. Yahan kuch suggestions hain:

1. **Nandi Hills**: Subah subah Nandi Hills ki taraf jaakar sunrise dekhna ek accha experience ho sakta hai. Wahan trekking aur cycling ka bhi option hai.

2. **Cubbon Park**: Agar aapko nature pasand hai, to Cubbon Park mein walk ya picnic ka plan bana sakte hain. Yeh jagah bahut peaceful hai.

3. **Bangalore Palace**: Is historical palace ko dekhna na bhoolen. Yahan aapko architecture aur history ka accha mix milega.

4. **Vidhana Soudha**: Is iconic building ke bahar photo khichwana ek accha option hai. Yeh Bangalore ki ek pehchaan hai.

5. **Food Crawl**: Bangalore ke famous eateries aur street food joints ka maza lein. VV Puram Food Street ya Indiranagar mein khaas jagahain hain.

6. **Shopping**: Commercial Street, Brigade Road ya MG Road par shopping karna bhi accha rahega. Local markets mein bhi ghoom sakte hain.

7. **Art Galleries and Museums**: National Gallery of Modern Art ya Visvesvaraya Industrial and Technological Museum dekhna bhi interesting ho sakta hai.

8. **Live Music and Events**: Bangalore mein kayi cafes aur",5,5,5,5,20,none
P001,casual,roman,Bhai weekend pe Bangalore mein kya karein?,Asking for weekend activity recommendations in Bangalore,gpt_4o,"Bangalore mein weekend pe karne ke liye bahut saari cheezein hain. Yahan kuch suggestions hain:

1. **Lalbagh Botanical Garden**: Subah ki fresh hawa ka maza lena ho toh Lalbagh Botanical Garden ek accha option hai. Yahaan aap khoobsoorat phool dekh sakte hain aur morning walk ka maza le sakte hain.

2. **Cubbon Park**: Ye park city ke beech mein hai aur yahaan aap picnic ya cycling ka anand le sakte hain.

3. **Bangalore Palace**: Is historic palace ka tour le sakte hain aur iski architecture aur history ke baare mein jaan sakte hain.

4. **Bannerghatta National Park**: Wildlife aur nature ka anand lena ho toh yahaan safari ka maza le sakte hain.

5. **ISKCON Temple**: Spiritual peace ke liye aap ISKCON Temple ja sakte hain.

6. **Commercial Street**: Shopping aur street food ka maza lena ho toh yahaan zaroor jayein.

7. **Vidhana Soudha**: Ye khandar city ka ek landmark hai, iski architecture dekhne layak hai.

8. **UB City Mall**: Agar luxury shopping aur fine dining ka plan hai toh UB City ek accha option hai.

9. **Art Galleries and Museums**: Jagdish and Kamla Mitt",5,5,5,5,20,none
P002,casual,roman,"Chalo let's go to eat lunch, shaam hone wali hai?","Asking for going to eat lunch, because its going to be evening soon",qwen_3b_base,"Shaaam (also spelled as Shaam or Shom) in Hindi and Urdu refers to the evening mealtime, which is typically around 6:00 PM to 8:00 PM. So if it's shaaam time, we could indeed plan to have lunch now!

However, if you're asking about going out for lunch at this time, that might not be practical unless you live in a place where restaurants serve meals at these times. 

If you meant to ask about going out for lunch now, I'd be happy to help with recommendations on what to eat or suggestions on places to go! Just let me know more details!",2,4,4,3,13,language_drift_english
P002,casual,roman,"Chalo let's go to eat lunch, shaam hone wali hai?","Asking for going to eat lunch, because its going to be evening soon",gpt_4o_mini,"Haan, chalo! Lunch karna zaroori hai, aur shaam hone wali hai toh achha hai ki hum thoda jaldi nikalte hain. Kahan chalna hai?",5,3,5,5,18,none
P002,casual,roman,"Chalo let's go to eat lunch, shaam hone wali hai?","Asking for going to eat lunch, because its going to be evening soon",gpt_4o,"Lagta hai aapka lunch miss ho gaya! Agar shaam hone wali hai, toh shaayad ab dinner ki planning kar leni chahiye. Kya khayal hai aapka?",5,5,5,5,20,none
P003,casual,roman,Mai walk karne aaya because I ate bahut saara,Telling that I came for walk because I ate so much,qwen_3b_base,"I understand that you're expressing that Mai (which is often used as a term of endearment or affectionate address for a partner) came to see you because you ate a lot. If you need any further assistance or if there's something specific you'd like to discuss or know about, feel free to let me know!",1,1,1,1,4,intent_miss
P003,casual,roman,Mai walk karne aaya because I ate bahut saara,Telling that I came for walk because I ate so much,gpt_4o_mini,"Acha kiya! Walk karna sehat ke liye bahut achha hota hai, khaas kar jab aapne zyada khana khaya ho. Isse digestion achha hota hai aur aapko energy bhi milti hai. Aap kis tarah ki walk kar rahe hain?",5,5,5,5,20,none
P003,casual,roman,Mai walk karne aaya because I ate bahut saara,Telling that I came for walk because I ate so much,gpt_4o,"Aisa lagta hai ki aapne bahut saara khana khaya aur ab aap walk karne aaye hain. Yeh achha hai, kyunki walk karna digestion mein madad karta hai aur aapko fresh feel karata hai. Aapko aur kisi cheez ki zaroorat ho toh bataiye!",5,5,5,5,20,none
P004,casual,roman,"Movie kaisi lagi, did you enjoy it?",Asking how was the movie,qwen_3b_base,"Yes, I enjoyed the movie ""Kaisi Hai Ya Kya Na"" (also known as ""Kesari""). It's an Indian film from 2018 that was directed by Karan Johar and starred Shahid Kapoor and Kangana Ranaut in lead roles. The movie is based on the true story of Kesari Bai, a woman who fought against British rule in India during the 19th century.

The movie has received positive reviews for its strong performances, particularly from Shahid Kapoor and Kangana Ranaut. It tells the story of Kesari Bai, a woman from a small village in Punjab, who marries into a wealthy family but faces challenges when she becomes pregnant with her husband's child. She is sent away to a village by her in-laws and becomes a social worker, fighting for the rights of the poor and underprivileged. 

As an AI, I don't have personal experiences or emotions, but I believe many viewers found it to be a powerful and inspiring film. If you're interested in watching it, it might be worth checking out!",1,1,1,1,4,hallucinated_facts
